product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
Aqua BLACK NYC Model Natural MINERAL WATER 15 L RO+UV+TDS 15 BLACK AUTOMATIC ELECTRICAL 15 L RO + UV +...,"₹4,999","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.1,34,4
KENT Ace Extra 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier with Alkaline Wat...,"₹16,200","['Electrical & Storage', 'RO + UV + UF + TDS Control + Alkaline + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,001",373
Blue Star Excella 6 L RO + UV Water Purifier,"₹8,799","['Electrical & Storage', 'RO + UV', '6 L Capacity', '1 Year Warranty on Product']",4.2,66,8
Aqua Fresh Audi Black Model 12 L RO + UV + UF + TDS Water Purifier,"₹5,680","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'Replacement:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable']",3.8,456,81
Pureit CLASSIC RO+MF 7 L RO + MF Water Purifier,"₹7,599","['Electrical & Storage', 'RO + MF', '7 L Capacity', 'NA']",4.4,"1,034",217
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,044",123
Kinsco Aqua 6 Stage 15 L RO + UV + UF + TDS Water Purifier,"₹4,749","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '1 Year Warranty on Electrical items. For every visit customer need to pay extra . For more info call 1800-212-6766 (Monday to Saturday) 10.00 a.m to 6.00 p.m.']",4.3,293,122
KENT Grand 11076 8 L RO + UV + UF + TDS Water Purifier,"₹14,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase']",4.1,"4,274",580
Aqua Fresh Omega Golden Audy 12 L RO + UV + UF + TDS Water Purifier,"₹5,499","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer 450-600/- . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable.""]",5,2,1
FABER FWP GALAXY FRESH 7 L RO + UV + MAT + pH Enhancer Water Purifier,"₹9,490","['Electrical & Storage', 'RO + UV + MAT + pH Enhancer', '7 L Capacity', '1 Year Warranty on Product']",3.7,7,4
KENT Prime Plus ZW 9 L RO + UV + UF + TDS Water Purifier,"₹17,500","['Electrical & Storage', 'RO + UV + UF + TDS', '9 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.3,82,9
KENT GOLD (11014) 20 L Gravity Based + UF Water Purifier,"₹2,439","['Non - Electrical & Storage', 'Gravity Based + UF', '20 L Capacity', 'Not Applicable']",3.9,"4,351",561
Aqua EPIC Model 12 L ALKALINE FILTER+ RO + UV + UF + ALKALINE FILTER 12 L RO + UV + UF + TDS Water Pur...,"₹4,902","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4,208,27
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,335",428
Aquagrand Plus EPIC 12 L RO + UV + UF + TDS Water Purifier,"₹4,999","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 MONTH']",4,3,0
Aqua Fresh Alfa Prism COPPER+RO+UV+TDS WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME WATER PU...,"₹5,499","['Electrical & Storage', 'RO + UV', '12 L Capacity', '6 MONTH OFFSITE WARRANTY ON PUMP & SMPS, INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 400-700 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 2 TO 4 DAYS for query/installation 8178961873 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed.']",4.2,31,7
KENT GRAND STAR 9 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹18,529","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '9 L Capacity', '1 Year Warranty + 3 Years free service']",3.7,7,1
FABER FWP GALAXY PRO 7 L RO + MAT Water Purifier,"₹7,990","['Electrical & Storage', 'RO + MAT', '7 L Capacity', '1 year warranty on product']",3.5,12,1
Rk Aquafresh India Swift Plus 12 Ltrs 14stage 12 L RO + UV + UF Water Purifier,"₹5,129","['Electrical & Storage', 'RO + UV + UF', '12 L Capacity', 'One Year Warranty On All Electronic Items Except Uv Lamp For Every Visit Customer Need To Pay 350Rs to Exective For Any Details Please Call 1800 313 3660(10am-6pm Monday To Saturday)']",3.9,"2,260",745
Aquagrand Epic Model 12 Ltr 12 L RO + UV + UF + TDS Water Purifier,"₹5,760","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'Replacement:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable']",4.1,68,5
Aquatec Plus Advance plus 12 L RO + UV + UF + TDS Water Purifier,"₹8,698","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '1 Year Manufacturer Warranty.*']",4.3,"1,204",313
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,403,49
Aqua NATURAL WATER 12 L ALKALINE VITAMIN B12 RO_UV_UF _TDS_ALKALINE B12 12 L RO + UV + UF + TDS Water ...,"₹5,199","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.3,28,7
nexus pure JAZZ BLACK COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier,"₹6,599","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', '6 MONTH WARRANTY APPLICABLE ONLY ON SMPS POWER SUPPLY']",4.1,"2,147",865
NASAKA Xtra Pure 19 L Non Electric Water Purifier By Okaya & Microtek 19 L Gravity Based Water Purifie...,"₹1,709","['Non - Electrical & Storage', 'Gravity Based', '19 L Capacity', 'Against Manufacturing Defects']",none,none,none
KENT Ace Extra 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier with Alkaline Wat...,"₹16,200","['Electrical & Storage', 'RO + UV + UF + TDS Control + Alkaline + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,001",373
Aqua Fresh Epic Model 15 L RO + UV + UF + TDS Water Purifier,"₹5,159","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller.']",3.8,"5,461","1,319"
Aqua Fresh NYC Model 12 L RO_UV_UF_TDS 12 L RO + UV + UF + TDS Water Purifier,"₹5,199","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.2,54,9
Prestige 49004 16 L Gravity Based Water Purifier,"₹4,399","['Non - Electrical & Storage', 'Gravity Based', '16 L Capacity', 'Manufacturer Warranty']",3.9,"1,140",186
KENT Ace 8 L RO + UV + UF + TDS Water Purifier,"₹13,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"39,144","5,163"
Grand plus AQUA AUDT AT 12 L RO + UV + UF + TDS Water Purifier,"₹4,949","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable""]",4.1,17,3
Aqua Ultra Reeva RO+B12 Technology Water Purifier 10 L RO + MF Water Purifier,"₹4,390","['Electrical & Storage', 'RO + MF', '10 L Capacity', '12 month manufacturer warranty']",3.4,31,6
